easting,northing,number_of_vehicles,casualty_severity,age_of_casualty,1st_road_class_a_m,1st_road_class_b,1st_road_class_c,1st_road_class_motorway,1st_road_class_unclassified,road_surface_dry,road_surface_flood,road_surface_snow,lighting_conditions_darkness_no_street_lighting,lighting_conditions_darkness_street_lighting_unknown,lighting_conditions_darkness_street_lights_present_but_unlit,lighting_conditions_daylight_street_lights_present,weather_conditions_fine_with_high_winds,weather_conditions_fine_without_high_winds,weather_conditions_raining_with_high_winds,weather_conditions_raining_without_high_winds,weather_conditions_snowing_with_high_winds,weather_conditions_snowing_without_high_winds,casualty_class_passenger,casualty_class_pedestrian,sex_of_casualty_male,type_of_vehicle_car,type_of_vehicle_goods_vehicle,type_of_vehicle_minibus,type_of_vehicle_motorcycle,type_of_vehicle_other_vehicle,type_of_vehicle_pedal_cycle,accident_day_of_week,accident_week,accident_hour,road_surface_frost,road_surface_wet,lighting_conditions_darkness_street_lights_present_and_lit,weather_conditions_fog_or_mist,weather_conditions_no_report,casualty_class_driver,year,day,day_of_week_1,day_of_week_2,day_of_week_3,day_of_week_4,day_of_week_5,day_of_week_6,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
431482,435007,2,0,26,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,2,14,14,0,0,0,0,0,0,2009,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
427890,430474,1,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4,18,7,0,1,1,0,0,0,2009,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
427890,430474,1,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,4,18,7,0,1,1,0,0,0,2009,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
427304,433623,3,0,34,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4,18,14,0,0,0,0,0,0,2009,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
427304,433623,3,0,38,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,18,14,0,0,0,0,0,0,2009,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
432430,433799,1,0,40,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,4,18,12,0,0,0,0,0,0,2009,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
431463,432466,1,0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4,18,23,0,0,1,0,0,0,2009,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
432533,434156,1,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,23,18,0,0,1,0,0,0,2009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
421617,434392,2,0,78,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,23,18,0,0,1,0,0,0,2009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
421617,434392,2,0,51,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,23,18,0,0,1,0,0,0,2009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
433601,429802,1,0,52,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,23,17,0,0,1,0,0,0,2009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
